quantidade_de_alunos,nome_do_curso
19,Lógica de programação
40,Java para Web
28,C# para Web
26,Ruby on Rails
37,Cursos de Python
15,PHP com MySql
41,.NET para web
37,Novas integrações com Java
66,TDD com Java
66,Código limpo com C#
56,Preparatório para certificação Java
58,Hardware básico
15,Persistência com .NET
50,Desenvolvendo jogos
27,Análise de dados
51,Estatística básica
77,Internet das coisas
31,Programação funcional
55,Boas práticas em Java
7,Orientação objetos com Java
